vietnamese	english
hợp qui cách	passed
hợp sinh	adnate
hợp số	number
hợp sức	associate
hợp tác	co-operate
hợp tác xã	co-op
hợp thành	component
hợp thuỷ thổ	naturalise
hợp thể lớn	macroaggregate
hợp thời	well
hợp thời vụ	seasonable
hợp thức	proper
hợp tuyển	garland
hợp tử	zygote
hợp vào	mix
hợp vòi	systylous
hợp vệ sinh	hygienically
hợp với	go
hợp với lôgic	logical
hợp với thơ	poetic
hợp xướng	choir
hợp âm	chime
hợp âm rải	arpeggio
hợp đồng	policy
hợp đồng phụ	subcontract
hư	bogus
hư ảo	vaporous
hư cấu	fairy
hư hỏng	fail
hư hỏng đi	deteriorate
hư không	airy
hư nát	shot
hư số	number
hư vô	nihility
hư đốn	naughty
hưng cảm nhẹ	hypomania
hưng thịnh	flourish
hương	incense
hương hải ly	castor
hương hoa đại	frangipane
hương sen	rose
hương thoảng	tincture
hương thỏi	pastil
hương thơm	balm
hương toát ra	aura
hương vị	nose
hương vị phụ	subflavour
hươu	deer
hươu bắc mỹ	wapiti
hươu cao c	giraffe
hươu cao cổ	camelopard
hươu cái	doe
hươu nai	cervine
hươu nhỏ	fawn
hươu xạ	musk
hươu đùi vằn	okapi
hươu đực	stag
hướng	way
hướng axit	acidotropic
hướng bay	course
hướng bắc	north
hướng chạy	course
hướng chua	acidotropic
hướng cuối	atterminal
hướng dẫn	lead
hướng dẩn	monitorial
hướng gió	anemotropic
hướng gần tâm	proximad
hướng gốc	basipetal
hướng khí	aerotropic
hướng kiềm	alkalitropic
hướng lên	upward
hướng nam	south
hướng nghiêng	plagiotropic
hướng ngoài	extrorse
hướng ngọn	acropetal
hướng ra biển	seaward
hướng theo	refer
hướng trong	introrse
hướng trụ	axipetal
hướng trục	adaxial
hướng tâm	esodic
hướng tây	west
hướng tây bắc	nw
hướng tối	aphototropic
hướng tới	send
hướng vào	aim
hướng về	run
hướng về cực	poleward
hướng xa	distad
hướng điện	electrotopic
hướng đông	east
hưởng	taste
hưởng lạc	hedonic
hưởng lợi	reap
hưởng thụ	luxuriate
hưởng trước	anticipate
hừ	hum
hừ ừ	heigh-ho
hừ!	pah
hừm	um
hừm!	humph
hừng sáng	flush
hứa	commit
hứa chắc	impawn
hứa hẹn	say
hứa hẹn tốt	favorable
hứa hôn	betroth
hứa hôn với	spoken-for
hứa kết hôn	troth
hứng gió của	blanket
hứng thú	exciting
hứng thơ	muse
hữa ngạn	right-bank
hững hờ	tepid
hữu cơ	organically
hữu danh	onymous
hữu hạn	finite
hữu hiệu	efficient
hữu hình	material
hữu ích	usefully
hữu tính	gamogenetic
hữu tỷ	rational
hữu tỷ hoá	rationalize
hử	huh
hửng lên	brighten
i  ngữ nghĩa	semantic
i-bê-ri	iberian
i-rắc	iraqi
i-ê-mem-cô	sabean
i. order to để	in
iambơ	iambic
ictêri	hysterical
im lặng	noiseless
im lặng!	sh
im miệng	dry
im đi!	dry
in bản viết	hectograph
in bốn màu	four-colour
in chồng	overstrike
in chữ lên	letter
in chữ vào	enface
in dấu	print
in dấu lên	stamp
in dấu vào	imprint
in lõm xuống	indent
in lặng	quiesce
in o to để	in
in rô-nê-ô	roneo
in rônêô	cyclostyle
in sâu	infix
in sâu vào	imprint
in the m. ở	mean
in thêm riêng	off-print
in thử	prove
in trước	preprint
in vết	print
in xuất bản	print
in ôpxet	off-set
in đá	lithograph
in đè lên	surprint
in đề mục	rubricate
inh lên	aloud
insơ	inch
ion nhiệt	thermion
ipêrit	mustard-gas
iriđôtmin	iridosmine
italic  nghiêng	isthmus
iôlit	iolite
iôn	ion
iông dương	cation
iôta	iota
iđêan	ideal
iđêan dẫn	conductor
iđêan môđunla	ideal
iơ-hu	yahoo
ích lợi	profit
írăc và xiri	kurd
ít  gân	oligonervous
ít ai lui tới	unfrequented
ít biến động	oligodynamic
ít chân	oligopod
ít gân	paucinervate
ít hơn	less
ít hơn cả	least
ít lưu ý	unregardful
ít người	monority
ít người mua	easy
ít người ưa	uncompainionable
ít nhất	least
ít năng lượng	non-fattening
ít phê bình	uncritical
ít phô trương	unobstrusive
ít quan tâm	unregardful
ít thông cảm	uncompassionate
ít tuổi	bread-and-butter
ít tuổi hơn	junior
ít tầng	low-rise
ít vách ngăn	open-plan
ít ô	paucilocular
ỉm đi	burke
jacôbi	jacobian
juliêng	julian
jơ	work
kem cạo râu	shaving-foam
kem mứt	sundae
kem nước đá	water-ice
kem thoa mặt	face-pack
kem đánh răng	toothpaste
ken phẳng	fur
ken trầm	bombardon
keo hồ	glue
keo kiết	penurious
keo kiệt	pinch
kè đá	sheath
kèm cặp	tutor
kèm cặp ai	set
kèm theo đây	herewith
kèn acmônica	harmonica
kèn antô	alto
kèn baritôn	baritone
kèn coonê	cornet
kèn cổ	shawm
kèn fagôt	bassoon
kèn lệnh	call
kèn tuba lớn	helicon
kèn têno	tenor
kèn ôboa	oboe
kèn đồng	brass
kèn đưa đám	post
kém hơn cả	least
kém mắt	tender-eyed
kém năng lực	incapable
kém năng suất	underactive
kém thông minh	md
kém ăn	low
kém đi	grew
kén hợp tử	oocyst
kén ăn	dainty
kéo  lại gần	snuggle
kéo  lên	put
kéo  qua đầu	pull
kéo  xuống	shut
kéo bật ra	pull
kéo bằng tời	winch
kéo cao lên	carry
kéo căng	taut
kéo căng quá	overstrain
kéo cắt cây	secateur
kéo cắt tôn	snip
kéo dài được	extensible
kéo dậy	lift
kéo lê	lug
kéo lê chân	scuff
kéo lê ầm ầm	lugubriousness
kéo lên	draw
kéo lớn	shorn
kéo lưới vét	dredge
kéo mây đen	overcloud
kéo quá căng	overstretch
kéo thẳng	unbend
kéo tỉa cây	pruning-hook
kéo tới	dodge
kéo viôlông	fiddle
kéo về	pull
kéo vội đi	hurry
kéo xén viền	edging-shears
kéo xuống	draw
kéo đi	draw
kéo đầy	pull-haul
kéo đến	draw
kép chặt	grip
két sắt	box
kẽ hở	rift
kẽ nứt	rift
kẽ nứt sâu	chasm
kẻ  xuống	let
kẻ ác nhân	misdoer
kẻ áp bức	oppressor
kẻ bám đít	hanger-on
kẻ báng bổ	desecrator
kẻ bạo ngược	despot
kẻ biển lận	muckworm
kẻ biển thủ	peculator
kẻ bịp bợm	kite
kẻ bóc lột	leech
kẻ bỏ trốn	deserter
kẻ bỏ đảng	defector
kẻ bỏ đạo	defector
kẻ bần tiện	cheap-skate
kẻ bất lương	knave
kẻ bề trên	patronizing
kẻ bôi nhọ	denigrator
kẻ bôi xấu	denigrator
kẻ bội giáo	defector
kẻ bắt cóc	kidnapper
kẻ bắt nạt	hector
kẻ bợ đ	pamper
kẻ bợ đỡ	minion
kẻ ca rô	chequer
kẻ càn rỡ	jackanapes
kẻ chỉ điểm	snitch
kẻ chê bai	denigrator
kẻ chơi khăm	hoaxer
kẻ chơi rong	loafer
kẻ chơi xỏ	hoaxer
kẻ chửi mắng	vituperator
kẻ có tội	culprit
kẻ công kích	aggressor
kẻ cắp	gun
kẻ cắp vặt	snitch
kẻ cướp	thug
kẻ cướp biển	pirate
kẻ cướp bóc	sacker
kẻ cướp giật	sacker
kẻ cướp phá	looter
kẻ cướp đoạt	despoiler
kẻ cướp đêm	night-robber
kẻ cưỡng dâm	assaulter
kẻ dại khờ	charlie
kẻ doạ dẫm	intimidator
kẻ du côn	roughneck
kẻ dâm đãng	lecher
kẻ dắt gái	pander
kẻ dưới	creature
kẻ gàn bướng	nut-case
kẻ gian lận	cheat
kẻ giả vờ	dissimulator
kẻ giết cha	parricide
kẻ giết mẹ	matri
kẻ giết vợ	uxoricide
kẻ gây hấn	aggressor
kẻ gây ra	perpetrator
kẻ gây sự	aggressor
kẻ hai mặt	double-dealer
kẻ hay bợ đỡ	flunky
kẻ hà tiện	muckworm
kẻ hành khất	mendicant
kẻ hám tiền	grabber
kẻ hiếp dâm	ravisher
kẻ hùng hổ	tiger
kẻ hất cẳng	ouster
kẻ hối lộ	briber
kẻ hỗn xược	jackanapes
kẻ hăm doạ	intimidator
kẻ hợm mình	snob
kẻ in lậu	piratically
kẻ keo kiệt	muckworm
kẻ khéo luồn	insinuator
kẻ khủng bố	persecutor
kẻ khốn nạn	wretch
kẻ kiêu căng	popinjay
kẻ kịp bợm	humbug
kẻ kêu đường	canter
kẻ làm khổ	persecutor
kẻ làm liều	gambler
kẻ liếm gót	crawler
kẻ luồn lọt	insinuator
kẻ lầm đường	pervert
kẻ lẩn tránh	evasion
kẻ lêu lỏng	shack
kẻ lêu lổng	rogue
kẻ lệ thuộc	vassal
kẻ lắm điều	bag
kẻ lưu manh	roughneck
kẻ lười nhác	loafer
kẻ lừa bịp	flat
kẻ lừa dối	deceiver
kẻ lừa gạt	crook
kẻ lừa đảo	leg
kẻ mạo hiểm	knight
kẻ mị dân	demagogue
kẻ mua chuộc	briber
kẻ mỵ dân	demagog
kẻ mê hoặc	mystificator
kẻ mối lái	pimp
kẻ mới phất	parvenu
kẻ mưu phản	proditor
kẻ mưu toan	machinator
kẻ ngu ngốc	wally
kẻ ngược đãi	persecutor
kẻ nhu nhược	woman
kẻ nịnh thần	courtier
kẻ nói dối	liar
kẻ nói điêu	liar
kẻ nô lệ	minion
kẻ phản bội	cat
kẻ phản quốc	parricide
kẻ phản đảng	rat
kẻ phản động	bourbon
kẻ phạm tội	criminal
kẻ phiêu lưu	knight
kẻ phỉnh phờ	cajoler
kẻ phóng đâng	lecher
kẻ phất	operator
kẻ quyền thế	plutocrat
kẻ quấy rầy	harrier
kẻ sát nhân	thug
kẻ sống bơ vơ	castaway
kẻ tham lợi	grab-all
kẻ tham ô	peculator
kẻ tham ăn	glutton
kẻ thù địch	hostile
kẻ thề ẩu	perjurer
kẻ thống trị	potentate
kẻ ti tiện	miscreant
kẻ tiếp tay	abette
kẻ tiết lộ	betrayer
kẻ tích trữ	hoarder
kẻ trục lợi	profiteer
kẻ trục xuất	ouster
kẻ trấn áp	represser
kẻ trốn n	levanter
kẻ trộm	gun
kẻ trộm đêm	burglar
kẻ trở mặt	cat
kẻ tuân thủ	conformist
kẻ tấn công	attacker
kẻ tố giác	fink
kẻ tước đoạt	plunderer
kẻ tự sát	self-murderer
kẻ vu khống	slanderer
kẻ vô dụng	rapscallion
kẻ vô lại	coyote
kẻ vô tình	thickskin
kẻ vơ vét	grab-all
kẻ vờ vĩnh	dissimulator
kẻ xúi bẩy	instigant
kẻ xâm chiếm	invader
kẻ xâm lấn	invader
kẻ xâm lược	invader
kẻ xâm phạm	invader
kẻ yếm thế	pessimist
kẻ âm mưu	schemer
kẻ ô vuông	pane
kẻ ăn bám	bum
kẻ ăn chơi	playboy
kẻ ăn chực	cadger
kẻ ăn cắp	swiper
kẻ ăn cắp văn	cribber
kẻ ăn cắp ý	plagiarist
kẻ ăn gian	defrauder
kẻ ăn hiếp	hector
kẻ ăn hối lộ	bribee
kẻ ăn mày	cadger
kẻ ăn sương	night-bird
kẻ ăn trộm	night-hawk
kẻ ăn tục	guzzler
kẻ ăn xin	cadger
kẻ ăn đêm	moonlighter
kẻ đàn áp	oppressor
kẻ đào ngũ	defector
kẻ đáng chém	gallows-bird
kẻ đáng ghét	cunt
kẻ đáng khinh	dog
kẻ đánh lừa	spoofer
kẻ đại bợm	adventurer
kẻ đe doạ	intimidator
kẻ điên rồ	nut-case
kẻ địch	enemy
kẻ đong hoa	stag
kẻ đỏ	redlining
kẻ đuổi	ouster
kẻ đút lót	briber
kẻ đâm	stabber
kẻ đần độn	wampus
kẻ đầu cơ	jobber
kẻ đầu độc	poisoner
kẻ đê tiện	dog
kẻ đểu cáng	scamp
kẻ đểu giả	knave
kẻ đồng loã	complice
kẻ đốt phá	arsonist
kẻ độc tài	dictator
kẹo bi đường	kiss
kẹo bơ cứng	taffy
kẹo cứng	rock
kẹo gôm	gum
kẹo hạnh nhân	comfit
kẹo hình nệm	cushion
kẹo mềm	fudge
kẹo nhân quả	praline
kẹo sôcôla	chocolate
kẹo sữa	stickjaw
kẹo viên	drop
kẹo viên dẹt	patty
kẹo viên thơm	pastil
kẹo đrajê	comfit
kẹo đum	dump
kẹp  cầm máu	hemostat
kẹp bằng kìm	dog
kẹp chặt	nip
kẹp chặt lại	clamp
kẹp vào giữa	sandwich
kẹp vỡ	crack
kẹt chặt	jam
kh năng	usefulness
kha trưởng	scouter
khai chiến	hatchet
khai căn	rooting
khai khẩn	clear
khai quật	dig
khai thác hết	work
khai thông	unstop
khai triển	evolve
khai trương	auspicate
khai trừ	interdict
khai tâm	initiate
khan hiếm	supply
khanh tướng	peer
khay bưng rượu	coaster
khay chữ in	typecase
khay dưới	underpan
khay làm đá	ice-tray
khay đựng thư	out-tray
khá buồn tẻ	dullish
khá bền	fastish
khá chắc	fastish
khá cứng cỏi	toughish
khá cứng rắn	rigescent
khá dốc	steepish
khá hơn	better
khá hời hợt	magaziny
khá lắm!	shew
khá lớn	good
khá mẫm	plumpy
khá mới	newish
khá nhiều	good
khá nông cạn	magaziny
khá rộng	largish
khá tốt	fair
khá đấy	amiss
khá đê tiện	shabbyish
khác biệt	class
khác chỗ	heterotopic
khác cực	heteropolar
khác gốc	diecious
khác hẳn nhau	disparate
khác nghiệt	extreme
khác nhau với	vary
khác thường	run
khác với	differ
khác đời	class
khách nữ	visitress
khách thể	object
khách đi tàu	boarder
khái lược	schematism
khái niệm	idea
khái yếu	schematism
khám bệnh	vet
khán đài	stood
khán đài bên	dedans
kháng biện	bar
kháng cự	kick
kháng cự lại	kick
kháng hoocmôn	antihormone
kháng nguyên	antigen
kháng nấm	fungistatic
kháng thể	antimycin
kháng từ	coercive
kháng từ kế	coercimeter
kháng độc tố	antitoxin
khánh kiệt	dog
kháo chuyện	peddle
khát nước	thirst
khả năng	room
khả năng bơm	pompability
khả năng chảy	flowability
khả năng nói	speech
khả năng thu	receptivity
khả năng thở	respirability
khả thương.	tradable
khảm xà cừ	narced
khản tiếng	husky
khảnh ăn	dainty
khảo vấn	quizzing
khạc nhổ	gob
khạc đờm	expectorate
khe băng	polynia
khe hở	gap
khe kéo phông	sink
khe khắt	harsh
khe ngắm	peep-sight
khe núi sâu	jill
khe nứt	joint
khe phổi	pneumostome
khe răng	warding
khe suối	flume
khe sâu	donga
khe trượt	slid
khe tối thiểu	break
khe đút tiền	drop
khe*  tính từ	cleft
khen ngợi	word
khen quá lời	overpraise
khen thưởng	retributive
khéo nói dối	slick
khéo xử	tacful
khép hờ	half-open
khét tiếng	notoriously
khẽ đập	tap
khi cần đến	require
khi nghĩ đến	thought
khi thực hiện	runtime
khi xuân về	come
khi đó	when
khinh miệt	scorn
khinh người	disdainful
khinh suất	daft
khinh thường	sniffy
khiêm nhường	humbly
khiêm nhượng	lowly
khiêm tốn	lowly
khiên	pelta
khiên cưỡng	procrustean
khiên nhỏ	targe
khiên trì	stick
khiêng	manhandle
khiêu dâm	sexy
khiêu khích	provoke
khiêu vũ	leg
khiếm khuyết	defectively
khiếm nhã	rude
khiếm nhâ	immodest
khiến	cause
khiến cho	make
khiến phải	reduce
khiến tin theo	persuasive
khiếp	dread
khiếp nhược	hen-hearted
khiếp sợ	dread
khiếp đảm	funky
khiếp!	pox
khiếu	bent
khiếu nại	reclaim
khiển	jack
khiển trách	row
khí  áp kế	barometer
khí chất	mettle
khí cụ bơm	insufflator
khí cầu	balloon
khí cầu nhỏ	blimp
khí giới	arm
khí hậu	sky
khí khổng	stoma
khí lực	nerve
khí lực hoá	pneumatics
khí nổ	gas
khí quyển	atmosphere
khí sắc	air
khí than đá	coal-gas
khí than ướt	carburet
khí thuyền	steam-vessel
khí thế	spunk
khí thắp	gas
khí tê	laughing-gas
khí xông lên	effluvia
khí độc	miasma
khí động lực	aerodynamic
khía răng cưa	mill
khích lệ	spur
khích động	key
khỉ dữ	mandrill
khỉ không đuôi	ape
khỉ mặt xanh	drill
khỉ nhân hình	ape-man
khỉ nâu	rhesus
khỉ đuôi	talapoin
khỉ đuôi dài	hanuman
khỉ đuôi sóc	marmoset
khỉ đầu chó	baboon
kho chứa	depot
kho chứa hàng	godown
kho cung cấp	supply
kho dữ liệu	database
kho dữ trữ	stock
kho dự trữ	hoard
kho hàng đồ g	pantechnicon
kho lưu trữ	archives
kho lương thực	commissary
kho ngửi	gross
kho nhà bếp	servery
kho riêng	fisc
kho thuốc nổ	powder-house
kho thực phẩm	storeroom
kho tích trữ	hoard
kho vật quý	gazophylacium
kho vô tận	mint
kho xếp hàng	stowage
khoa bào chế	pharmacy
khoa chính âm	orthoepy
khoa cây quả	pomology
khoa hoa liễu	venereology
khoa liên động	interlock
khoa miệng	stomatologic
khoa mật mã	cryptology
khoa mô ta núi	orography
khoa núi lửa	vulcanology
khoa nội	medicine
khoa nội tạng	enterology
khoa rađa	radiolocation
khoa răng	dentistry
khoa rượu nho	oenology
khoa sông băng	glaciology
khoa thần kinh	neurology
khoa trắc cao	hypsography
khoa trắc địa	topography
khoa trương	stilt
khoa tướng số	phrenology
khoa ung thư	oncology
khoa vệ sinh	hygienics
khoa xây dựng	architecture
khoa địa chất	geology
khoa địa lý	geography
khoa đo lường	metrology
khoa đo độ cao	hypsography
khoa đỡ đẻ	tocology
khoai mỡ	yam
khoai nước	dasheen
khoai tây	spud
khoai tây rán	chip
khoan hồng	generous
khoan lỗ	tap
khoan rỗng	chamber
khoan thứ	tolerate
khoan thứ ai	bear
khoan đào	bore
khoang chân	podocyst
khoang cổ	ruff
khoang cơ thể	coelom
khoang giữa	paragaster
khoang hầm	cellarage
khoang phôi	blastocoel
khoang ruột	enterocoele
khoang để bom	bomb-bay
khoanh bơ nhỏ	pat
khoanh lớn	whang
khoá chuyển	interlock
khoá chặt	lock
khoá dừng	catch
khoá hẹn giờ	time-lock
khoá luận	act
khoá miệng	muzzle
khoác áo lễ	cope
khoái khẩu	quiche
khoáng tướng	facies
khoáng vật	mineral
khoáng đạt	broad
khoả thân	naked
khoản vô hình	invisibles
khoản đãi	feast
khoảng chừng	more
khoảng giữa	mean
khoảng hở	clearance
khoảng không	space
khoảng rộng	reach
khoảng sống	living-space
khoảng trống	blank
khoảng âm	register
khoảng đầy	plenum
khoảnh khắc	tick
khoé dụ dỗ	inveiglement
khoé mắt	canthi
khoé riêng	wheeze
khoét lỗ	pierce
khoét nhân	enucleate
khoét đá	saxicavous
khoẻ hơn	better
khoẻ khắn	fresh
khoẻ lên	tone
khoẻ như vâm	fiddle
khom xuống	hunch
khoằm	beaked
khoắng	dabble
khó bắt	fugacious
khó cảm thấy	impalpable
khó cảm động	unemotional
khó chiều	critical
khó chơi	shave
khó chữa	stubbornly
khó chữa...	stubborness
khó cầm	unwieldy
khó cầm cương	heavy
khó cất bỏ	stubbornly
khó di chuyển	stubbornly
khó dằn	untamable
khó giữ	fugacious
khó gần	cagy
khó hiểu	deep
khó khăn	hard
khó kiềm chế	hard-mouthed
khó kiếm	uncome-at-able
khó kết bạn	uncompainionable
khó làm ăn	stringently
khó lui tới	difficult
khó lường	deep
khó mặc cả	shave
khó ngửi	hum
khó nhận rõ	nondescript
khó nắm	shy
khó phát âm	crack-jaw
khó phân biệt	unobservable
khó phân loại	nondescript
khó sờ thấy	impalpable
khó sử dụng	unhandy
khó thấy	shy
khó thở	choky
khó thương	ungentle
khó tin nổi	incredibly
khó tiêu	heavy
khó tiếp cận	inaccessibly
khó trông nom	unmanageable
khó uốn	unsupple
khó uốn nắn	inductile
khó với tới	hard-to-reach
khó xử	kittle
khó đạt tới	hard-to-reach
khó đoán	riddling
khó đọc	cramp
khó ở	ail
khó ưa	ungentle
khóc dai hơn	outwept
khóc giỏi hơn	outwept
khóc như mưa	salt
khóc than về	wept
khóc về	wept
khói cuộn	eddy
khói lẫn mù	smaze
khóm hoa hồng	rose-bush
khỏi bệnh	recover
khỏi chỗ này	without
khu bầu cử	electorate
khu da đen	township
khu hoa-kiều	chinatown
khu kiều dân	colony
khu nhà lớn	mansion
khu phố	quarter
khu rừng con	monte
khu rừng nhỏ	holt
khu sinh vật	biota
khu sân bãi	campus
khu trung tâm	heartland
khu trường sở	campus
khu tự trị	autonomy
khu vườn	curtilage
khu vực	erd
khu vực kho	storage
khu vực đô la	dollar
khu định cư	settlement
khu đất	ground
khu đất rào	haw
khui lỗ	pierce
khum lên	camber
khung chậu	pelves
khung căn vải	stender
khung căng	tenter
khung cưa	saw-gate
khung cửa	door-case
khung cửa lò	furnace-frame
khung cửa sổ	window-frame
khung cửi	hand-loom
khung ép vợt	racket-press
khung giường	bedstead
khung gỗ	studding
khung khuôn	flask
khung lỗ	partner
khung sắp chữ	composing-stick
khung thêu	taboret
khung yên	saddle-tree
khung để dát	setting
khuy bấm	popper
khuy cửa tay	link
khuy măng sét	cuff-link
khuy rời	stud
khuynh hướng	ply
khuyên	rede
khuyên bảo	advise
khuyên can	put
khuyên giải	appease
khuyên giải ai	assuage
khuyên ngăn	dissuade
khuyên nhủ	admonish
khuyên răn	preach
khuyên sai	misadvise
khuyên tai	earring
khuyên trước	preadvise
khuyên đừng	discommend
khuyến khích	coax
khuyến nho	cynic
khuyết	wane
khuyết áo	buttonhole
khuyết tật	defect
khuyết điểm	hole
khuyển binh	war-dog
khuỷu ống	offset
khuân	tote
khuân vác	load
khuân xuống	dismount
khuất nẻo	secret
khuất phục	bend
khuấy	move
khuấy 6	bunny
khuấy con vịt	quack-quack
khuấy đục	mud
khuấy động	vex
khuẩn cầu	cocci
khuẩn que	bacilli
khuẩn sữa	lactobacillus
khuẩn tia	actinomycet
khuẩn tụ cầu	staphylococcal
khuẩn xoắn	spirilla
khuê phòng	zenana
khuếch	extend
khuếch tán	diffuse
khuếch trưng	widen
khuếch trương	enlarge
khuếch đại	amplify
khuôn	form
khuôn cán	pass
khuôn cát	sand-box
khuôn có sẵn	stereotypical
khuôn cối	matrix
khuôn cửa	curtain-band
khuôn dạng	format
khuôn dẫn	jig
khuôn dưới	matrix
khuôn ép	swage
khuôn giày	last
khuôn in	plate
khuôn kéo sợi	die
khuôn khổ	measurement
khuôn nhà lớn	block
khuôn phép	propriety
khuôn ráo	cheese-drainer
khuôn rập	die
khuôn sáo	b-picture
khuôn đúc	cast
khuồi	cack
khù khờ	sappy
khúc bi thương	elegy
khúc chiết	strong
khúc cuộn	fold
khúc côn cầu	hockey
khúc cơ	sarcomere
khúc cơ lưng	epimere
khúc gỗ	chump
khúc hổ lốn	olio
khúc luyện	etude
khúc lượn	winding
khúc mơ màng	reverie
khúc mở màn	overture
khúc ngoặt	detour
khúc nhạc đêm	nocturne
khúc sông	reach
khúc sông hẹp	narrow
khúc thân	somatome
khúc tôcat	toccata
khúc uốn	bight
khúc xạ được	refrangible
khúc xêcăng	sequence
khúc điệp	bob
khúc đò đưa	barcarole
khúc đùa cợt	scherzo
khúc đồng quê	idyl
khủng bố	shoot
khủng khiếp	dooms
khủng điểu	dinornis
khâm liệm	shroud
khâm phục	admire
khâu	tag
khâu chữ chi	herring-bone
khâu diềm	welt
khâu dúm dó	pucker
khâu giấu mũi	stoat
khâu lại	sew
khâu lẩn mũi	stoat
khâu lằn mũi	fine-draw
khâu lược	run
khâu mắt	seel
khâu nối	interlink
khâu nối lại	seam
khâu viền	fell
khâu xích	link
khấc	slot
khấc nỏ	nock
khấc tên	nock
khấm khá hơn	better
khấp khiểng	haltingly
khấp khểnh	jolty
khấu	mulct
khấu hao	depreciation
khấu đi	deduct
khấu đuôi	dock
khấy đục	roil
khẩn cầu	beg
khẩn cấp	urgent
khẩn hoản	press
khẩn khoản	obtest
khẩn nài	urgent
khẩn thiết	entreatingly
khẩn trương	pronto
khẩu	wordy
khẩu hiệu	motto
khẩu lệnh	parole
khẩu pháo	piece
khẩu phần	go
khẩu súng	piece
khẩu trang	respirator
khẩu vị	palate
khẩu độ	orifice
khẩu đội	battery
khập khiễng	crazy
khập khiểng	lamely
khập khểnh	halt
khê	burn
khêu	start
khêu gợi	stir
khêu gợi ngầm	piquant
khêu ngọn lửa	brisk
khêu ra	elicit
khều	refresh
khế ước	bond
khệnh khạng	struttingly
khô	dry
khô cạn	drily
khô cạn đi	dry
khô chân	dry-shod
khô chậm chạp	semidrying
khô cổ	dry
khô cằn	arid
khô cứng	dry
khô dầu	millcake
khô héo đi	sear
khô hết dầu	oil-dried
khô khan	dry
khô khô	dryish
khô nhanh	drying
khô như bụi	dusty
khô như trấu	husky
khô như vỏ	husky
khô nứt	dry
khô nứt ra	adust
khô rang	flint-dried
khô ráo	drily
khô xác	wizen
khô xác ra	bone-dry
khô đi	dry
khôi hài	funny
khôi phục	reintegrate
khôi phục lại	restore
khôn	wise
khôn hơn	outwit
khôn khéo	subtle
khôn lỏi	slim
khôn ngoan	day
khôn ngoan láu	fool
khôn ra	sophisticated
khôn ra hn	wise
khôn từng xu	penny-wise
khôn việc nhỏ	penny-wise
không	no
không  biết	unbeknownst
không  cành	unbranched
không  hầm	unheated
không  nhánh	unbranched
không  ninh	unheated
không  nấu	unheated
không  tan	thawless
không  tiền	unmoneyed
không ai	none
không ai bảo	unbidden
không ai bằng	unequalled
không ai dạy	untaught
không ai hơn	unexcelled
không ai rước	shelf
không ai thích	undesirable
không ai thấy	unnoticed
không ai thử	unattempted
không ai tin	uncredited
không ai vượt	unexcelled
không ai đi qua	untrod
không ai để ý	unobserved
không ai ưa	undesirable
không am hiểu	unposted
không an cư	unsettled
không an toàn	unsafe
không an tâm	disquiet
không anh	un-english
không anh em	unbrotherly
không anh hùng	unheroic
không ao ước	undesirous
không áp bức	unopressive
không áp chế	unopressive
không áp dụng	dormant
không áy náy	unbothered
không ban bố	unpromulgated
không ban hành	unpromulgated
không bao	acapsular
không bao giờ	shot
không bao hàm	uninvolved
không bao phấn	antherless
không bay	fadeless
không bay được	unflyable
không bà con	kinless
không bàn cãi	undebated
không bào	vacoule
không bào từ	asporous
không bày ra	unexposed
không bày tỏ	unuttered
không bày đặt	unimagined
không bác bỏ	accept
không báo thù	revengeless
không bãi bỏ	unabrogated
không bão hoà	unsaturated
không bảnh bao	unsmart
không bảo đảm	worth
không bạn bè	unfriended
không bè phái	unsectarian
không bén lửa	uninflammable
không bẽn lẽn	unbashful
không bi thm	untragic
không biết	ask
không biết bơi	swum
không biết ơn	ungratefully
không biếu	unoffered
không biểu lộ	unexpressive
không biện hộ	unapologetic
không bì được	nonpareil
không bình yên	unpeaceful
không bí mật	unmysterious
không bích	flangeless
không bị	free
không bị  bơm	unsprayed
không bị bác	unrefuted
không bị bạc	unwhitened
không bị bẻ	unrefuted
không bị bịt	unstuffed
không bị bỏ	unrenounced
không bị bẩn	unsoiled
không bị bận	unallotted
không bị bắt	uncaught
không bị cãi	uncontroverted
không bị cạn	unexhausted
không bị cháy	uncharred
không bị che	unblurred
không bị chia	undivided
không bị chìm	undrowned
không bị chê	untaxed
không bị chặn	undamped
không bị co	unshrunk
không bị cùm	unironed
không bị cấm	unforbidden
không bị cắt	unexcised
không bị dò	unsearched
không bị dâng	unsurrendered
không bị ép	unsqueezed
không bị giam	unpent
không bị gỉ	unrusted
không bị hại	unattained
không bị héo	unwithered
không bị hoạn	intact
không bị hỏi	unquestioned
không bị hỏng	uncrippled
không bị hút	unabsorbed
không bị kém	intact
không bị kiện	unprocessed
không bị kiệt	unexhausted
không bị lấp	uneclipsed
không bị lấy	unseized
không bị lừa	unfooled
không bị móp	unrumpled
không bị mục	unrotten
không bị mất	unlost
không bị mờ	undimmed
không bị nén	unsubdued
không bị nhai	unchewed
không bị nhàu	unrumpled
không bị nhét	unstuffed
không bị nhốt	unpent
không bị nuốt	unabsorbed
không bị nộp	unsurrendered
không bị oằn	unwarped
không bị phá	unbroken
không bị phạt	unpunished
không bị phủ	unsurmounted
không bị phế	undeposed
không bị quất	unwhipped
không bị rối	unentangled
không bị rửa	unrotten
không bị say	undrunk
không bị tán	unwooed
không bị thối	unrotten
không bị thưng	unwounded
